name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
Cactus Club Cafe,jKO4Og6ucdX2-YCTKQVYjg,"Canadian (New), Cocktail Bars",4.2,"['1085 Canada Place', 'Vancouver, BC V6C 3E1', 'Canada']",49.28963138752227,-123.11817709999995,$$,936,False,280.09795184625716
iDen & Quan Ju De Beijing Duck House,Zi8Ywk36Ws_4zjw2gjMMFA,Chinese,3.6,"['2808 Cambie Street', 'Vancouver, BC V5Z 2V5', 'Canada']",49.26021,-123.1148451,N/A,152,False,102.5557420689429
Hitoe Sushi Japanese Restaurant,FmD4x9ClmSzSLKOTV7jfXw,"Japanese, Sushi Bars",4.0,"['3347 W 4th Avenue', 'Vancouver, BC V6R 1N6', 'Canada']",49.268648,-123.1789136,$$,181,False,81.96981382153979
Blue Water Cafe,gt1BSfVFvzI-qHdJ3LUZug,Seafood,4.4,"['1095 Hamilton St', 'Vancouver, BC V6B 5T4', 'Canada']",49.2761945,-123.1209935,$$$$,1135,False,1109.3369592894433
Tom Sushi,o5YLdmUogknjtDzUBv5Smw,"Sushi Bars, Japanese",4.7,"['1175 Davie St', 'Vancouver, BC V6E 1N2', 'Canada']",49.2815608,-123.1327476,$$,285,False,167.78500244439084
Tropika On Cambie,KN9zCrgwHj_iWQGEf3Vzyw,"Malaysian, Singaporean, Thai",2.9,"['2975 Cambie Street', 'Vancouver, BC V5Z 2V7', 'Canada']",49.2589,-123.11538,$$,178,False,19.442241901902467
Hawksworth Restaurant,70D_rxm388HaD2qMTB59xw,Canadian (New),4.1,"['801 W Georgia Street', 'Vancouver, BC V6C 1P7', 'Canada']",49.2833971,-123.1191704,$$$,694,False,118.97905701210559
Harbour Oyster + Bar,ulsLlVcGvuLOSN0n3bR2zg,"Cocktail Bars, Seafood, Fish & Chips",4.2,"['1408 Commercial Drive', 'Vancouver, BC V5L 3X9', 'Canada']",49.2718946138822,-123.069181591272,$$,84,False,60.01599411373623
Fable Diner,uonaIMF0GOLC8UzKR3IaQA,"Diners, American",3.9,"['151 E Broadway', 'Vancouver, BC V5T 1W1', 'Canada']",49.2630749,-123.1019822,$$,343,False,279.4085594345542
Sushi Jin,iMtUsHOqitE6Aau59K_XRg,"Japanese, Sushi Bars",4.6,"['750 Nelson Street', 'Vancouver, BC V6Z 1A8', 'Canada']",49.2795794102629,-123.123817518353,$$$,149,False,136.66188055062526
Hawksworth Restaurant,70D_rxm388HaD2qMTB59xw,Canadian (New),4.1,"['801 W Georgia Street', 'Vancouver, BC V6C 1P7', 'Canada']",49.2833971,-123.1191704,$$$,694,False,99.91673441537314
Chambar,_4R46MNkwx9MeOyt0YfNxA,Belgian,4.2,"['568 Beatty Street', 'Vancouver, BC V6B 2L3', 'Canada']",49.2801460007961,-123.109925328073,$$,1601,False,45.600507221473194
Hawksworth Restaurant,70D_rxm388HaD2qMTB59xw,Canadian (New),4.1,"['801 W Georgia Street', 'Vancouver, BC V6C 1P7', 'Canada']",49.2833971,-123.1191704,$$$,694,False,220.8492174428889
Kishimoto Japanese Kitchen,I0r8kMimYW2BY6lINcZRFA,"Japanese, Sushi Bars",4.4,"['2054 Commercial Drive', 'Vancouver, BC V5N 4A9', 'Canada']",49.2665099,-123.06935,$$$,538,False,46.03192189135224
Fable Diner,uonaIMF0GOLC8UzKR3IaQA,"Diners, American",3.9,"['151 E Broadway', 'Vancouver, BC V5T 1W1', 'Canada']",49.2630749,-123.1019822,$$,343,False,177.75781219458432
